"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoff","Param: queueSize"
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,150.421208,14.699249,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,10556.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,33251402.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,145.672985,15.643281,"ns/op",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,0.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,34350594.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,158.346049,9.274989,"ns/op",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,212.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,31587110.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,225.848649,52.080471,"ns/op",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,55687.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,22151234.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,202.201278,5.685706,"ns/op",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,5246.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,24727700.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,212.592066,8.248355,"ns/op",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,603.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,23524832.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1","avgt",1,5,207.199328,6.010560,"ns/op",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:drops","avgt",1,5,380.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue1:offers","avgt",1,5,24135819.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,118.077736,53.724609,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,26286866.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,59616879.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,119.875976,25.476054,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,39259.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,83614585.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,131.284730,83.666148,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,15925.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,77707910.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,132.009046,29.381547,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,1127.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,76176641.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,167.627758,74.554518,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,13825238.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,47571762.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,183.907234,115.708448,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,40374.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,57349150.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,163.541180,21.970014,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,682.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,61473574.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,159.134766,28.807707,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,0.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,63217598.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,189.495768,31.503937,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,8588563.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,44866212.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,193.085382,35.337660,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,25081.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,52388424.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,201.621685,18.223456,"ns/op",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,10190.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,49892617.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,170.205357,12.899516,"ns/op",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,0.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,58926347.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,316.327894,181.553746,"ns/op",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,266796.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,32790989.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,273.915585,71.428638,"ns/op",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,6231.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,36659252.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,279.024383,162.404014,"ns/op",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,14492.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,37187283.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2","avgt",2,5,303.014693,183.132600,"ns/op",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:drops","avgt",2,5,16601.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue2:offers","avgt",2,5,34474356.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,259.941796,27.015948,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,41961149.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,35557128.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,240.155172,31.967922,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,3536984.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,80336615.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,236.620996,7.685574,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,62606.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,84753225.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,270.939498,25.986347,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,46396.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,74657646.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,274.297823,23.243263,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,37381832.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,36035953.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,312.792296,21.142669,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,231037.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,64375831.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,348.362134,96.042936,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,72082.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,58231566.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,282.400073,25.368073,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,41434.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,72112719.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,321.771070,33.363254,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,27428460.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,35136589.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,317.914004,21.956825,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,146336.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,63168702.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,365.593011,42.395858,"ns/op",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,23286.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,54933812.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,356.966339,28.744171,"ns/op",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,108751.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,56677060.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,499.190463,50.845362,"ns/op",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,8780241.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,31911802.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,502.841093,88.006493,"ns/op",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,14610.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,39927872.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,511.425606,50.445580,"ns/op",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,20805.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,39730000.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4","avgt",4,5,523.112017,49.080797,"ns/op",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:drops","avgt",4,5,1075.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue4:offers","avgt",4,5,38583119.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,333.106817,33.746446,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,99192014.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,21200682.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,424.555841,128.497466,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,23855761.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,71175457.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,373.922180,16.286897,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,7070019.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,100006269.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,391.975774,20.979818,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,343561.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,101937260.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,430.851197,9.298047,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,73301915.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,19604953.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,458.876429,16.242283,"ns/op",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,26123223.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,61110890.000000,NaN,"#",5,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,562.459014,141.204567,"ns/op",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,315064.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,71099471.000000,NaN,"#",5,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,529.920405,150.201518,"ns/op",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,78072.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,75801737.000000,NaN,"#",5,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,494.424282,40.046445,"ns/op",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,61011904.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,19968445.000000,NaN,"#",10,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,557.079525,35.478862,"ns/op",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,9680504.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,62176334.000000,NaN,"#",10,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,565.878670,44.466762,"ns/op",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,175596.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,70566024.000000,NaN,"#",10,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,541.069123,4.518041,"ns/op",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,7987.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,73942857.000000,NaN,"#",10,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,791.498182,41.495619,"ns/op",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,26734009.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,23824512.000000,NaN,"#",20,256
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,799.076722,18.678563,"ns/op",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,386372.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,49718387.000000,NaN,"#",20,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,853.208641,28.758280,"ns/op",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,450698.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,46486564.000000,NaN,"#",20,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8","avgt",8,5,819.869586,60.884013,"ns/op",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:drops","avgt",8,5,144437.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerArrayBlockingQueue8:offers","avgt",8,5,48677251.000000,NaN,"#",20,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1","avgt",1,5,152.091461,9.018898,"ns/op",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:drops","avgt",1,5,7978.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:offers","avgt",1,5,32879401.000000,NaN,"#",0,256
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1","avgt",1,5,168.810187,15.576246,"ns/op",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:drops","avgt",1,5,1105.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:offers","avgt",1,5,29635826.000000,NaN,"#",0,1024
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1","avgt",1,5,161.645495,13.291474,"ns/op",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:drops","avgt",1,5,0.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:offers","avgt",1,5,30948042.000000,NaN,"#",0,2048
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1","avgt",1,5,142.919009,13.722427,"ns/op",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:drops","avgt",1,5,2.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:offers","avgt",1,5,35006609.000000,NaN,"#",0,4096
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1","avgt",1,5,162.358680,8.453476,"ns/op",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:drops","avgt",1,5,60700.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1:offers","avgt",1,5,30744418.000000,NaN,"#",5,256
"io.github.richardstartin.qb.SaturationBenchmark.offerDisruptor1","avgt",1,5,168.474451,20.838953,"ns/op",5,1024
